,C,checkpoint,test error,demographic parity,equal odds,equal_opportunity,overall accuracy violation
0,0.0,500,0.18725099601593626,0.14107069393572133,0.16070551461731625,0.0919583629175661,0.14227493340265285
1,0.0,1000,0.17762284196547146,0.141418742691272,0.10806823944680966,0.043394714309134164,0.1325163892931449
0,0.0,500,0.18107569721115538,0.17924759646066651,0.2050422605077472,0.1109821432141529,0.13552640624103907
1,0.0,1000,0.17250996015936254,0.19435868150361477,0.26077049242988626,0.16272917903111472,0.12915724038799403
0,0.0,500,0.17822045152722443,0.1778911270354689,0.20769780544535,0.12034551718189407,0.12554893503118647
1,0.0,1000,0.1697211155378486,0.16746454836275967,0.1868728198128079,0.11055030385839326,0.1247159930379016
0,0.0,500,0.19209827357237716,0.23984037538475475,0.39277774060396314,0.24986019486465327,0.1446356912835821
1,0.0,1000,0.19395750332005313,0.25066509086226885,0.36716334704538317,0.21052282836499114,0.14950977801165133
0,0.0,500,0.1752988047808765,0.18668849010528338,0.2450230941395634,0.15309333499366806,0.12604616473279395
1,0.0,1000,0.16912350597609563,0.17725386342443267,0.25097288457235284,0.1726597705653497,0.11929763757118017
0,0.0,500,0.17855245683930943,0.13396659578448789,0.13871418686123083,0.07970920531847864,0.13782331539919068
1,0.0,1000,0.1696547144754316,0.15764466294183022,0.2079846163946601,0.1415244957447258,0.1246174417419521
0,0.0,500,0.19847277556440904,0.25055223729194276,0.4056452693249226,0.24895139008288913,0.15167987233304459
1,0.0,1000,0.17795484727755645,0.1786618451085349,0.2726952559472509,0.1874308471534304,0.128477751969717
0,0.0,500,0.17350597609561752,0.1581833752569169,0.15747779768570586,0.08471077330661564,0.12791667354533176
1,0.0,1000,0.16679946879150068,0.17357472871163127,0.19631489207246516,0.11684567626557213,0.12340066521823878
0,0.0,500,0.17868525896414342,0.18548960646900897,0.27918528874343695,0.18727204908345518,0.13046809498579715
1,0.0,1000,0.17622841965471447,0.1719108105355648,0.23727273706843027,0.15595569876577337,0.12923844039735766
0,0.0,500,0.17755644090305445,0.1335478580879793,0.056627098793405106,0.0030348710279776148,0.11580272738555175
1,0.0,1000,0.17357237715803453,0.20214477548448154,0.3144406160033929,0.21372563692020857,0.12650476024022284
0,0.05,500,0.18187250996015936,0.174562749082483,0.22581864438168675,0.13695705197666463,0.1351985571913752
1,0.05,1000,0.17735723771580345,0.1977841865428998,0.26524569076208615,0.16168385360645843,0.13182009118913507
0,0.05,500,0.1745019920318725,0.13581311368516835,0.09607028358560887,0.04555448230401149,0.11217564653250778
1,0.05,1000,0.16945551128818062,0.15653267615352107,0.11698288034008542,0.04800956901175624,0.12009248697113961
0,0.05,500,0.17928286852589642,0.1879295985487986,0.2817448435131247,0.18847674379416574,0.12863622036743771
1,0.05,1000,0.17257636122177955,0.1683842467889739,0.22044680014181617,0.1437293898098479,0.12623486248182647
0,0.05,500,0.1895750332005312,0.22381155772609568,0.29150785898776077,0.1581623064791326,0.14240120663855815
1,0.05,1000,0.1798804780876494,0.22596985718446871,0.3295692386395759,0.20325010524656262,0.13496085459479423
0,0.05,500,0.1752324037184595,0.19005658545415366,0.26090232507610817,0.1668196573731715,0.12655179927726767
1,0.05,1000,0.17310756972111555,0.18985555124124787,0.2688849957239535,0.17597796476853467,0.12702327284942283
0,0.05,500,0.1745019920318725,0.16686734315555232,0.21287865856483634,0.13536621519651837,0.1284886642239399
1,0.05,1000,0.17357237715803453,0.1432486514991281,0.12186610312597956,0.059143712824543504,0.1295256894423399
0,0.05,500,0.17177954847277557,0.156174597752545,0.12142934096789226,0.054054748776312445,0.11598945932408089
1,0.05,1000,0.17583001328021247,0.19209254329762826,0.30188011105546947,0.2089982526500142,0.12502201757912002
0,0.05,500,0.1802788844621514,0.16305048135176994,0.1523862814121008,0.07048463685794598,0.13313541900879788
1,0.05,1000,0.1702523240371846,0.20427623561169633,0.2960036224185259,0.19309102728070876,0.12731696092676814
0,0.05,500,0.1749667994687915,0.19081225905908167,0.22434390837334223,0.12591373152044588,0.13008480205622175
1,0.05,1000,0.1702523240371846,0.17834863934119188,0.15092624701512836,0.06391850802929888,0.12218138128316924
0,0.05,500,0.17277556440903055,0.12937813329884207,0.07839701691526169,0.02744122043742586,0.12471795884840498
1,0.05,1000,0.16925630810092962,0.15258526848488224,0.15247856208923327,0.08861960493553539,0.12130729768434945
0,0.1,500,0.1702523240371846,0.17086375567173942,0.16494083136254978,0.08500723445164116,0.12278556712359256
1,0.1,1000,0.1689907038512616,0.1835155315378088,0.22604246290816887,0.1391853659010277,0.12302774294203322
0,0.1,500,0.18127490039840638,0.128440000384336,0.036938438154435094,0.015259466335665994,0.11709229907576224
1,0.1,1000,0.17430278884462153,0.15600325129009826,0.11287736121734582,0.04155539853460222,0.1221511519318571
0,0.1,500,0.18711819389110226,0.2544867668958554,0.36167063756902884,0.20738742330710114,0.14117155205011866
1,0.1,1000,0.17337317397078353,0.20555435344683107,0.25617606783752606,0.14702644901810819,0.1310425930757615
0,0.1,500,0.17841965471447543,0.23103514907292677,0.3851688053086498,0.2614278916814374,0.127959239360517
1,0.1,1000,0.17284196547144753,0.20846636069962876,0.30637359549258036,0.2016135711800925,0.12270185970287262
0,0.1,500,0.17742363877822045,0.19433489118466585,0.2779853601786988,0.18131883510762564,0.1246684124000037
1,0.1,1000,0.1695219123505976,0.18748727112624952,0.23809306073630426,0.1506622393612433,0.11777429490539548
0,0.1,500,0.20312084993359894,0.22240913246555905,0.32952226368333065,0.1892952964354403,0.15555753384739546
1,0.1,1000,0.19123505976095617,0.24024691703242612,0.34688858626736946,0.19795493219379534,0.1518131262021658
0,0.1,500,0.1754316069057105,0.1597716498471853,0.20376274872897832,0.13225251634963214,0.12684745316511636
1,0.1,1000,0.16945551128818062,0.18382318088158617,0.29593851904871127,0.21433855177302613,0.11979039405092784
0,0.1,500,0.19110225763612218,0.1633077016383486,0.27269827757222415,0.1917926531330345,0.13862602804116353
1,0.1,1000,0.17642762284196548,0.1714695663147217,0.2420105065002477,0.16143251853167767,0.12892990844478291
0,0.1,500,0.18665338645418328,0.2594168391046889,0.3826086671084762,0.22459073795976464,0.1432005292603773
1,0.1,1000,0.19243027888446215,0.3231755959630356,0.547143056167385,0.33919838962762994,0.1493577486462937
0,0.1,500,0.1750996015936255,0.1958686045038203,0.2658749473836214,0.168388216726235,0.1236358604034633
1,0.1,1000,0.1705843293492696,0.18662857300351232,0.24213998705142886,0.15291168828053103,0.12327832360334023
0,0.15,500,0.17569721115537848,0.20462286015759662,0.2762027297663971,0.16743371465814721,0.13298142383293698
1,0.15,1000,0.17636122177954847,0.2133577987142837,0.3152585158409913,0.20156787389376868,0.13185228635095037
0,0.15,500,0.18718459495351925,0.09285531989744647,0.04916201082809013,0.017211882893849173,0.13824917414395121
1,0.15,1000,0.17343957503320054,0.1314076521099536,0.11264155529903752,0.06148398510039982,0.12540137888768865
0,0.15,500,0.1798804780876494,0.10740492533019247,0.022514805559682438,0.0549841173369221,0.10656412009489402
1,0.15,1000,0.17270916334661354,0.1307125776226856,0.02159043596325949,0.02618968600823357,0.10709801818017661
0,0.15,500,0.18612217795484728,0.19645096583579813,0.27207723015660035,0.16909252615170012,0.1273074728821958
1,0.15,1000,0.17715803452855244,0.18613974814477133,0.22666839093524055,0.13198118871208486,0.12940978685980442
0,0.15,500,0.18691899070385126,0.1522338297091778,0.25267839080906934,0.182315607165563,0.13694869019951783
1,0.15,1000,0.17377158034528553,0.1892306240940848,0.3105169785772375,0.2221562150308657,0.12317529908553104
0,0.15,500,0.17881806108897744,0.17737153122456295,0.1698647068617759,0.08246246681948599,0.12099822413092176
1,0.15,1000,0.1703851261620186,0.18182728144194044,0.240073685826297,0.157343182621779,0.11784709007189276
0,0.15,500,0.17868525896414342,0.20075556929661553,0.2800077697059714,0.17597853598461366,0.12805135162410342
1,0.15,1000,0.17430278884462153,0.1810640856029435,0.19491356158465434,0.10380138588445104,0.1290992890967263
0,0.15,500,0.17722443559096945,0.23400958083885184,0.4210714383795057,0.2970614931245577,0.12860205939511893
1,0.15,1000,0.16686586985391766,0.20844365358238576,0.3298683069546227,0.22890684665304506,0.12198875191312974
0,0.15,500,0.1756308100929615,0.12497802755428442,0.0853893553027894,0.036099142547543706,0.1283514787338118
1,0.15,1000,0.17118193891102257,0.1427970366249152,0.1412038943895717,0.08202834259941016,0.12688412154879158
0,0.15,500,0.19667994687915005,0.16778060254940347,0.24911069089885696,0.1565451937593501,0.14871689442219527
1,0.15,1000,0.1757636122177955,0.15003886186712964,0.1794382525407361,0.11282145898868479,0.13126741760761618
0,0.2,500,0.19608233731739708,0.2061249199157887,0.3039024836588325,0.18149991060468362,0.14903830443949617
1,0.2,1000,0.17875166002656043,0.21501581945884005,0.3202520613659844,0.20518138680982106,0.13056664628174663
0,0.2,500,0.17961487383798141,0.12949959230494312,0.138982122079308,0.0850723530846525,0.13426455649078428
1,0.2,1000,0.17722443559096945,0.1738031438565483,0.27276274690418556,0.191907467564923,0.12860205939511893
0,0.2,500,0.1702523240371846,0.18742735402447847,0.23672466750209742,0.14800322851327874,0.12006673084168717
1,0.2,1000,0.1654050464807437,0.17039282370043726,0.1815159600175829,0.1067557154452829,0.11800806588096968
0,0.2,500,0.18227091633466136,0.26725444534446025,0.42872920257097147,0.2700195527263858,0.13911288708940117
1,0.2,1000,0.17609561752988048,0.20977328367642512,0.28986709954723355,0.17706955869559377,0.13357273160863414
0,0.2,500,0.1804116865869854,0.10501108967865036,0.009042478863432013,0.045804103730555046,0.12245717647307564
1,0.2,1000,0.1701195219123506,0.13380846839471172,0.0784589555452131,0.025509938874167415,0.12258846453169348
0,0.2,500,0.19136786188579016,0.20914619012585017,0.24309393144220692,0.11946013225937091,0.14113488366644356
1,0.2,1000,0.17875166002656043,0.18762838823738429,0.2063939462983252,0.10666489208871438,0.13388966840407546
0,0.2,500,0.17915006640106243,0.20192889739634617,0.34617759716083046,0.24456387937972784,0.12904330361596195
1,0.2,1000,0.1691899070385126,0.1792313283757866,0.2534343918759571,0.17309160992110934,0.12030246762776486
0,0.2,500,0.19382470119521913,0.14771423076902246,0.17579077977613927,0.09766252668293107,0.14750011789848194
1,0.2,1000,0.17131474103585656,0.15417049406294137,0.1459569009059527,0.07827945147262355,0.12436238785878517
0,0.2,500,0.17583001328021247,0.17700863859378274,0.21040963894670167,0.12529967423547017,0.12441783173869658
1,0.2,1000,0.17861885790172644,0.25332204423189975,0.38535192975636245,0.23904421840789514,0.13520303041323478
0,0.2,500,0.1755644090305445,0.169420730406521,0.20550395596996118,0.12507175901993028,0.12825292743786232
1,0.2,1000,0.17071713147410358,0.15980581081950407,0.18555184467965308,0.11466305962753282,0.12649635539735649
0,0.25,500,0.18300132802124833,0.21442647749364618,0.3060851338555044,0.18656888209014816,0.13657183630230563
1,0.25,1000,0.17397078353253653,0.1733616990427967,0.17443628943540845,0.09134773292906467,0.12347095297337973
0,0.25,500,0.18220451527224435,0.18659136301898427,0.20208160816329301,0.10061971232415828,0.13659759243175795
1,0.25,1000,0.1747675962815405,0.1872787146792747,0.1960104860715406,0.10084762753969811,0.12586194020562091
0,0.25,500,0.18207171314741036,0.18358439508329932,0.2507335790059121,0.15656975605074908,0.1327753747973185
1,0.25,1000,0.1799468791500664,0.21328249613643013,0.30718022087793184,0.19122772043085684,0.13324684836947354
0,0.25,500,0.1749003984063745,0.17487521265606454,0.21203108739101162,0.12766279515448825,0.1278716003187903
1,0.25,1000,0.16832669322709162,0.17384462647002757,0.20323020445222473,0.12402700481135309,0.12204222998253778
0,0.25,500,0.17656042496679947,0.19012599060049712,0.29793505125481634,0.20472555637874135,0.12852282519625857
1,0.25,1000,0.17390438247011952,0.20149748222801991,0.2909078249364429,0.18765933358504927,0.13001844592208756
0,0.25,500,0.18107569721115538,0.19320432949302893,0.2907806337301981,0.19090841064266945,0.13310966287934556
1,0.25,1000,0.17363877822045154,0.1888770189149685,0.2989433454226819,0.20938439471945003,0.1250928469351138
0,0.25,500,0.17848605577689244,0.134155092940612,0.08265793169879498,0.026668936298554047,0.1229222110128676
1,0.25,1000,0.18034528552456838,0.12214776191170336,0.06751374244152092,0.015032122336205211,0.13504652782601756
0,0.25,500,0.18067729083665338,0.16105763092433353,0.15159539133811661,0.07443916577318954,0.12587231085899075
1,0.25,1000,0.1757636122177955,0.161782734170005,0.16894632394335773,0.09177842985266627,0.13066323176719274
0,0.25,500,0.18864541832669324,0.25284216581687824,0.38773090607477345,0.23440765749426934,0.144646603537805
1,0.25,1000,0.17324037184594954,0.17891778160049912,0.20779547577588764,0.12011817318243329,0.128126654201957
0,0.25,500,0.17622841965471447,0.19993299795670044,0.2884345040182968,0.1883413655834315,0.1238007678335471
1,0.25,1000,0.1693227091633466,0.1709846730769875,0.19892034387065255,0.12027697125240838,0.12503096402283942
0,0.3,500,0.1809428950863214,0.18486359612013997,0.24672169971170366,0.14979741821756598,0.1368397682501986
1,0.3,1000,0.17363877822045154,0.1858718161968784,0.22217701644323185,0.13054972121799258,0.1250928469351138
0,0.3,500,0.1792164674634794,0.13803546245922774,0.18789281635631944,0.13102383056360178,0.1312565053533935
1,0.3,1000,0.17191235059760956,0.1886799163230694,0.2868332517053818,0.19629440705200518,0.1273639999638131
0,0.3,500,0.1804780876494024,0.1436101199202579,0.1288904646926181,0.06593889930088864,0.12497247113071874
1,0.3,1000,0.1696547144754316,0.18417122963713684,0.2442514949311702,0.15913851475822427,0.11978395501856476
0,0.3,500,0.17709163346613546,0.15494853377716789,0.1670214107576229,0.09593688290812957,0.12900914264364327
1,0.3,1000,0.17171314741035856,0.15835024849750395,0.1582126317443256,0.08846080686556029,0.12223485935257716
0,0.3,500,0.17549800796812748,0.16548403439919646,0.17281520759622393,0.09773335747673295,0.11939368145577334
1,0.3,1000,0.17211155378486057,0.16617585928134665,0.15431788223092657,0.07834856861818834,0.12010733084636904
0,0.3,500,0.18200531208499335,0.1714239514873272,0.21394077502583536,0.12734405658237996,0.13448938102263908
1,0.3,1000,0.17609561752988048,0.2633426228577906,0.4280188055961396,0.27720088127216674,0.13357273160863414
0,0.3,500,0.17237715803452855,0.16350656944784253,0.1465292232861135,0.07080337543005433,0.12352246523228427
1,0.3,1000,0.16759628154050465,0.1872966075667135,0.21199774012263545,0.12066425575400236,0.12488537368984498
0,0.3,500,0.17682602921646745,0.16386966267153125,0.18207975117737585,0.10284574138420505,0.13224005250238546
1,0.3,1000,0.1752988047808765,0.15623274963672124,0.1988992165438353,0.12816146679149643,0.1314838372966045
0,0.3,500,0.17981407702523242,0.1739481925886898,0.2354901000316943,0.14886519357656097,0.1342581174584212
1,0.3,1000,0.17363877822045154,0.17546902784311813,0.22736303469142627,0.14400243109563238,0.12750959029680742
0,0.3,500,0.18711819389110226,0.2935538806894643,0.5566992309630245,0.3806938104739323,0.14056736620969523
1,0.3,1000,0.18120849933598937,0.1578843313489145,0.1978227942667128,0.12170729631434246,0.13572350883293816
0,0.35,500,0.18134130146082336,0.20213921906091586,0.2566776340957987,0.1463215683765639,0.13441014682377883
1,0.35,1000,0.17197875166002657,0.19578489708310032,0.23932145939356997,0.1397994231860034,0.12716045833955092
0,0.35,500,0.17715803452855244,0.21475039492230347,0.33072386882770793,0.21783953512150617,0.1288056010193811
1,0.35,1000,0.1701195219123506,0.1796412600436117,0.1940148900040013,0.10957409557930159,0.1198696282497882
0,0.35,500,0.17124833997343958,0.16166988059967893,0.21239026647175707,0.14338837381065667,0.12184709320114206
1,0.35,1000,0.17363877822045154,0.14108106458909114,0.15705635914292304,0.10068597338932772,0.1241865681744787
0,0.35,500,0.17755644090305445,0.23118019780506827,0.34375056759416195,0.21609047148746385,0.13151155923656022
1,0.35,1000,0.17649402390438246,0.1994150269483534,0.28676823611765256,0.18329581395720795,0.13204938894284945
0,0.35,500,0.1845285524568393,0.22652164815719006,0.40066674173153793,0.27690327769498324,0.13430712230596953
1,0.35,1000,0.17343957503320054,0.21393229680424805,0.351151627077305,0.24445134981215566,0.12207835676535994
0,0.35,500,0.1796812749003984,0.13535078714964116,0.15949053642411348,0.1010258469563608,0.1358735723877924
1,0.35,1000,0.1701195219123506,0.1797652264610691,0.26546863615091426,0.18327239409796697,0.12440102205296377
0,0.35,500,0.1749003984063745,0.15005709576251292,0.13722986165027018,0.06955241221694103,0.12847578615921373
1,0.35,1000,0.17343957503320054,0.14460654513397608,0.11220125452469842,0.04864476129165668,0.1275160293291705
0,0.35,500,0.1695883134130146,0.19755990361189796,0.30120631304686785,0.20708981972991763,0.12180005416409712
1,0.35,1000,0.16640106241699867,0.1517923848954262,0.1301416680817825,0.06605314251669808,0.12250726452232985
0,0.35,500,0.18147410358565738,0.2132612132288375,0.327221231781765,0.21338519213709645,0.13007585561250234
1,0.35,1000,0.17735723771580345,0.16714903577696885,0.17675184129258692,0.09661948612259097,0.12668451154553606
0,0.35,500,0.1753652058432935,0.1528428297794054,0.17169430034109034,0.10350435352334642,0.12856145939043706
1,0.35,1000,0.17217795484727755,0.1869435439884502,0.24499295519983533,0.15447967641751553,0.12473727594549422
0,0.4,500,0.17855245683930943,0.1620957393444395,0.18087463814482035,0.10218655802898469,0.13298982867580333
1,0.4,1000,0.1703851261620186,0.17831217155042534,0.2252596417166725,0.13948011339781602,0.12962871396014908
0,0.4,500,0.17131474103585656,0.18544345004076151,0.2226444671607442,0.1326632207104671,0.12406029493857351
1,0.4,1000,0.1693227091633466,0.22342290896586314,0.3387184513309306,0.2231352793903525,0.12503096402283942
0,0.4,500,0.18127490039840638,0.21445419943360183,0.29817622891925133,0.17920590683123022,0.13551996720867598
1,0.4,1000,0.1753652058432935,0.20920129299781706,0.29893864764666767,0.18911422093838232,0.12976983107128393
0,0.4,500,0.17250996015936254,0.189082526349734,0.29166333150607104,0.2023395868165614,0.12402166074439502
1,0.4,1000,0.16879150066401064,0.1909228058109599,0.2938428339399444,0.2060896203755061,0.12001325277227926
0,0.4,500,0.17695883134130147,0.1783076983285656,0.25151298944206146,0.167455420869151,0.1242806462485686
1,0.4,1000,0.17244355909694556,0.1763545652970136,0.2593829783805248,0.17772702840257704,0.12724613157077425
0,0.4,500,0.1745019920318725,0.2020515800191891,0.2598251720237976,0.15427575227729567,0.12939494298457488
1,0.4,1000,0.1696547144754316,0.20127157449445926,0.2429633252508031,0.13975429711575865,0.1270341851036456
0,0.4,500,0.1796812749003984,0.10456109960699636,0.05776051028912693,0.02205351037985298,0.1307379927441934
1,0.4,1000,0.17549800796812748,0.1207081266666387,0.06854404885966636,0.02139546945679066,0.12966484074297135
0,0.4,500,0.17709163346613546,0.19297360752966403,0.32728512671150817,0.23406435663076192,0.12659239928194954
1,0.4,1000,0.17257636122177955,0.19019824416614142,0.2660963898579841,0.17325097920716354,0.12623486248182647
0,0.4,500,0.1811420982735724,0.16327083266176495,0.19734728738138746,0.12632215101696448,0.11357217436153433
1,0.4,1000,0.17284196547144753,0.1626968761726536,0.1539415082623249,0.07943902011308934,0.12300395262308417
0,0.4,500,0.18592297476759628,0.19844042624308078,0.3133672346903529,0.2079072299390341,0.1348662349198514
1,0.4,1000,0.1745019920318725,0.18723133463428535,0.27478356892104644,0.18352258674058963,0.12818657130372813
0,0.45,500,0.18373173970783532,0.2654379562021833,0.45632050660782786,0.30260800125210563,0.1340307855152102
1,0.45,1000,0.1759628154050465,0.2662159959164098,0.45696955844457576,0.306221514168158,0.13186516441567653
0,0.45,500,0.17662682602921648,0.18786520822516778,0.2658083616924909,0.17213710785302155,0.12952765525284327
1,0.45,1000,0.17343957503320054,0.1744572171533174,0.1966962986178824,0.11227766128143185,0.12781812224938227
0,0.45,500,0.17463479415670652,0.15665860838148182,0.1831305627419642,0.1123901908490042,0.12898785973605054
1,0.45,1000,0.1701859229747676,0.17199540056508228,0.1898012056146129,0.11073252178760923,0.12208282998721964
0,0.45,500,0.18778220451527225,0.2562124275691604,0.5399384507743535,0.39914523225931375,0.13128171988199278
1,0.45,1000,0.17609561752988048,0.2477339671052905,0.4446157418904991,0.30940204529629267,0.13115598824694052
0,0.45,500,0.18326693227091634,0.2393268775982674,0.42216639041497805,0.2884029997983607,0.13575766980525694
1,0.45,1000,0.17430278884462153,0.2058060173098441,0.3124525474717919,0.20731716372937836,0.12849510325630287
0,0.45,500,0.1738379814077025,0.17689077020074395,0.1946145449146569,0.10809635958280667,0.1272010583442328
1,0.45,1000,0.16640106241699867,0.19162391814477397,0.21871780642697702,0.12709614880407338,0.11888214947978937
0,0.45,500,0.18552456839309428,0.11657846028133036,0.08052276163343242,0.026643802791076032,0.14696282979304565
1,0.45,1000,0.18266932270916333,0.11430479984127484,0.05463398798001062,0.004123037658562423,0.14242303114700372
0,0.45,500,0.17735723771580345,0.15016852512318862,0.14576553268911552,0.0776653941876479,0.12849706906680636
1,0.45,1000,0.1747011952191235,0.11802880718770928,0.018250405003643166,0.026714062368798808,0.12364873846818947
0,0.45,500,0.1859893758300133,0.1970422736114954,0.23010656258778556,0.11752770826395437,0.14221501630088185
1,0.45,1000,0.17868525896414342,0.1673878215752557,0.20005833137037654,0.11675371047684546,0.13560367462939604
0,0.45,500,0.17742363877822045,0.20398308913520408,0.3312059023226073,0.22795177336887817,0.12799143452233241
1,0.45,1000,0.1689907038512616,0.1796893822823626,0.22152727057741572,0.13691249712249898,0.12484030046330341
0,0.5,500,0.17875166002656043,0.23226087204035945,0.3924340516776454,0.2666773674478808,0.1308687392019584
1,0.5,1000,0.17091633466135459,0.21874897384190245,0.37542283795045384,0.2664043261620963,0.12316689424266458
0,0.5,500,0.1743691899070385,0.16271815908024623,0.1490191967436818,0.07321219363539627,0.12406226074907689
1,0.5,1000,0.17138114209827357,0.17510146139756969,0.1820660513169866,0.09971090754239426,0.12144000995261772
0,0.5,500,0.18293492695883135,0.13922200963162898,0.16966322553670898,0.10695735472118656,0.1367753779265678
1,0.5,1000,0.1743691899070385,0.1496015492672933,0.16497297907121355,0.09870899453974552,0.13040621207352265
0,0.5,500,0.18134130146082336,0.2121637293078134,0.2886335654529994,0.1719337549288807,0.13350386806314363
1,0.5,1000,0.1661354581673307,0.17901633289644867,0.20696247534418122,0.12461821345316682,0.12120678057789658
0,0.5,500,0.17430278884462153,0.21369012098580742,0.3430783526557923,0.23483835441787082,0.12426580237333906
1,0.5,1000,0.17131474103585656,0.17758815150645976,0.24685591184834,0.16502375402064712,0.12436238785878517
0,0.5,500,0.1755644090305445,0.12777054161148438,0.054701356591646766,0.003852281237094024,0.12221106903362822
1,0.5,1000,0.17184594953519255,0.14675678075742718,0.09196636497134147,0.027965025581912162,0.12273405486468791
0,0.5,500,0.17682602921646745,0.1860551581152539,0.2842998842751418,0.19458989827212847,0.12650028701836313
1,0.5,1000,0.17430278884462153,0.19469100377513848,0.2765393449707009,0.17831880826046997,0.12970347493714973
0,0.5,500,0.17815405046480745,0.131232915627353,0.15066359064150653,0.09754885468320068,0.13179433505968274
1,0.5,1000,0.16892430278884463,0.14087555715432562,0.1476774348848508,0.09214115206286116,0.12504384208756558
0,0.5,500,0.17802124833997343,0.1788178060948992,0.2522530957519319,0.1654098960900831,0.12887839618587826
1,0.5,1000,0.17104913678618858,0.19473499379997408,0.22924710276458615,0.13041377179117936,0.12698911187710415
0,0.5,500,0.1749003984063745,0.15440229922801219,0.17674598704402894,0.1095723819310645,0.12424648527624982
1,0.5,1000,0.1705843293492696,0.200664540234735,0.31513679873940975,0.21752079654939788,0.12478878820439876
0,0.55,500,0.18286852589641434,0.16551643015392034,0.26736886889067096,0.18988422021293788,0.13214543282744273
1,0.55,1000,0.1757636122177955,0.20244347838453944,0.3770573747829889,0.28131135217699016,0.1216004441608417
0,0.55,500,0.18286852589641434,0.1637226481288864,0.22034695887172884,0.13902428296673636,0.13788519831146506
1,0.55,1000,0.17742363877822045,0.17109162921580348,0.18792590607421122,0.10152794588984332,0.13463747876698984
0,0.55,500,0.17423638778220452,0.15436563084433708,0.18281274039467837,0.1192310746116731,0.11752120683273215
1,0.55,1000,0.16733067729083664,0.1642109313867744,0.21949726614613135,0.15102439035535925,0.11965768178265956
0,0.55,500,0.17729083665338646,0.15196962878938308,0.12035825881171036,0.04934964193320085,0.1280964248506451
1,0.55,1000,0.17204515272244356,0.12599214506253292,0.030936707015949416,0.018714181181743283,0.12242552291211317
0,0.55,500,0.1806108897742364,0.20247262453414552,0.32687593482490396,0.22242925631665023,0.1306072462864285
1,0.55,1000,0.17264276228419656,0.17960174324063582,0.229971567135147,0.14297995431413796,0.1287501571394697
0,0.55,500,0.18200531208499335,0.13655468560862827,0.1736930868299989,0.1159340154034128,0.13207263766094546
1,0.55,1000,0.1693227091633466,0.1480236453303947,0.1168533201347538,0.053781136274448804,0.1235204994217809
0,0.55,500,0.18346613545816734,0.1671867873623499,0.22677911684779478,0.14318330723827877,0.13665750953352906
1,0.55,1000,0.17284196547144753,0.1728294257600731,0.21754619481107224,0.13693477454958186,0.12572278890498967
0,0.55,500,0.17755644090305445,0.12922054750991885,0.051485558681904964,0.0005335158178300103,0.12003202826851544
1,0.55,1000,0.17589641434262948,0.09594240464078915,0.038004836775545,0.06750745865395219,0.12330801135379943
0,0.55,500,0.1750996015936255,0.1638567846068051,0.18325682984491165,0.1058229195881989,0.1296777188076974
1,0.55,1000,0.17184594953519255,0.1803921194187355,0.23440190600573552,0.1492524780781549,0.12424451946574655
0,0.55,500,0.17675962815405047,0.18016817749567815,0.1950422993658194,0.10573323866378848,0.12489127112135512
1,0.55,1000,0.17622841965471447,0.1751989294918133,0.14395042886593834,0.05703249819638523,0.12259239615270023
0,0.6,500,0.17888446215139442,0.17714135086205102,0.18216878610033427,0.08925651086367298,0.13559723559703296
1,0.6,1000,0.17177954847277557,0.14659099071854606,0.12563130933809347,0.059893719536332546,0.13169829117508947
0,0.6,500,0.17828685258964144,0.13746381278856418,0.10905749614142657,0.049076029431337265,0.12927260136967644
1,0.6,1000,0.17310756972111555,0.14798751854757253,0.13475775035456583,0.07050691428502881,0.12581490116857608
0,0.6,500,0.1745683930942895,0.16903797907779855,0.23188538670029973,0.15318301591807848,0.12949349428052448
1,0.6,1000,0.16945551128818062,0.18864467214904468,0.25297137576277284,0.1639110250986633,0.12130085865198637
0,0.6,500,0.1794156706507304,0.15619194903913086,0.12452328460484274,0.050259017931043926,0.12611448667743141
1,0.6,1000,0.17264276228419656,0.14535828711789733,0.10113446055907238,0.03664579633519194,0.12723969253841116
0,0.6,500,0.17337317397078353,0.18372354638393068,0.24988391865792492,0.16300164910082027,0.12258399130983377
1,0.6,1000,0.1656042496679947,0.1831188189426543,0.20686323834718956,0.12161875782209014,0.12011627729008845
0,0.6,500,0.18333333333333332,0.14605512682276017,0.1443283741933296,0.0758923394782855,0.13253319897887772
1,0.6,1000,0.1753652058432935,0.15113526258644777,0.1693716375871801,0.10318618616731723,0.12705099478937854
0,0.6,500,0.17762284196547146,0.2441172569056165,0.4463103767010395,0.31681071784153436,0.12435988044742885
1,0.6,1000,0.17204515272244356,0.21717947474787025,0.31165682875253936,0.1987277875487461,0.1254464521142301
0,0.6,500,0.17695883134130147,0.19966899762981424,0.27443440270257835,0.17445624513395308,0.12156180996666333
1,0.6,1000,0.1696547144754316,0.20346152751379476,0.2854767154223454,0.1858874213078449,0.12038814085898819
0,0.6,500,0.17231075697211157,0.19761392328215893,0.32649382519092124,0.23236041906696425,0.12312182101612301
1,0.6,1000,0.17131474103585656,0.18379634155042793,0.22973306726661635,0.14041233803882103,0.1267791312204789
0,0.6,500,0.17861885790172644,0.24499920374644968,0.39116258893929107,0.2530881369273488,0.13369256581217637
1,0.6,1000,0.17211155378486057,0.2055330705392385,0.27641799547612916,0.17163843621601338,0.12494081756975639
